name,player_id,player_image_url,team_id
something,17086,https://owcdn.net/img/69735f396861f.png,624
Jinggg,7378,https://owcdn.net/img/69735f0889a6b.png,624
f0rsakeN,9801,https://owcdn.net/img/69735f135cf21.png,624
d4v41,9803,https://owcdn.net/img/69735f207c9bf.png,624
PatMen,13744,https://owcdn.net/img/67c6d1461c5cf.png,624
Rarga,22047,https://owcdn.net/img/6782528608fd1.png,13581
Viva,36415,https://owcdn.net/img/6782527d74487.png,13581
NoMan,11527,https://www.vlr.gg/img/base/ph/sil.png,13581
coconut,12365,https://owcdn.net/img/6782529707e67.png,13581
happywei,37927,https://owcdn.net/img/6782528e85d4c.png,13581
ara,11332,https://www.vlr.gg/img/base/ph/sil.png,14419
Cloud,4181,https://owcdn.net/img/646bd06211000.png,14419
westside,34684,https://owcdn.net/img/6636bf8d94177.png,14419
Flickless,6959,https://owcdn.net/img/678094302930e.png,14419
grubinho,5550,https://owcdn.net/img/65e74c58670b1.png,14419
N4RRATE,36245,https://owcdn.net/img/6974146682328.png,2
johnqt,1265,https://owcdn.net/img/69741441b9923.png,2
bang,3880,https://owcdn.net/img/69704e67e3e2b.png,2
zekken,4004,https://owcdn.net/img/69742b2cdd6c3.png,2
Zellsis,729,https://owcdn.net/img/671b20fca8019.png,2
mada,5132,https://owcdn.net/img/697406cf6b086.png,1034
skuba,11118,https://owcdn.net/img/6974067806f34.png,1034
brawk,2172,https://owcdn.net/img/697426e1f3308.png,1034
Ethan,11225,https://owcdn.net/img/6974068bad561.png,1034
s0m,4164,https://owcdn.net/img/64169001cb7f4.png,1034
Smoggy,4742,https://owcdn.net/img/677fe435edc57.png,1120
nobody,3017,https://owcdn.net/img/677fe4210de6e.png,1120
ZmjjKK,3520,https://owcdn.net/img/677fe40edf9da.png,1120
CHICHOO,15559,https://owcdn.net/img/677fe4289bb34.png,1120
Jieni7,51244,https://owcdn.net/img/67e2e8846d5a5.png,1120
keiko,11494,https://owcdn.net/img/697406c5ecbcd.png,474
trexx,2168,https://owcdn.net/img/67ab62d450b3c.png,474
kamo,14681,https://owcdn.net/img/697355a36ffa7.png,474
paTiTek,309,https://owcdn.net/img/665b77192b060.png,474
nAts,457,https://owcdn.net/img/69735612b9b30.png,474
MaKo,4462,https://owcdn.net/img/676b9d064081b.png,8185
Flashback,35013,https://owcdn.net/img/676b9cfda9d77.png,8185
free1ng,1916,https://owcdn.net/img/676b9d177fab9.png,8185
BeYN,4678,https://owcdn.net/img/6360e2fa70458.png,8185
HYUNMIN,28400,https://owcdn.net/img/676b9d1f6a2cd.png,8185
SpiritZ1,31753,https://owcdn.net/img/67826152e8ca0.png,11981
Nicc,11524,https://owcdn.net/img/6782611e6a470.png,11981
Demon1,26171,https://www.vlr.gg/img/base/ph/sil.png,11981
Akeman,52904,https://www.vlr.gg/img/base/ph/sil.png,11981
Flex1n,4705,https://owcdn.net/img/678260fd260da.png,11981
DH,43057,https://owcdn.net/img/67a4c0f02c6a5.png,14
iZu,29833,https://owcdn.net/img/696cbeb2ce31f.png,14
BuZz,804,https://owcdn.net/img/696cbe96ec066.png,14
stax,485,https://owcdn.net/img/696cbe19de8ff.png,14
Meteor,13039,https://owcdn.net/img/696cbecabc2af.png,14
leaf,7873,https://owcdn.net/img/6613103dd51a4.png,11058
trent,15500,https://owcdn.net/img/65e466071ca19.png,11058
valyn,3885,https://owcdn.net/img/65e4660ee20e5.png,11058
JonahP,4581,https://owcdn.net/img/65e4636c00e46.png,11058
jawgemo,3993,https://owcdn.net/img/64169400bfed7.png,11058
benjyfishy,29873,https://owcdn.net/img/69778b2bf3e20.png,1001
RieNs,10971,https://owcdn.net/img/69778b71c9366.png,1001
MiniBoo,18350,https://owcdn.net/img/697356d4e6f01.png,1001
Boo,1144,https://owcdn.net/img/69778b1c2192b.png,1001
Wo0t,21328,https://owcdn.net/img/69778b5885054.png,1001
Knight,4774,https://owcdn.net/img/677fdffe244c5.png,12010
whzy,4885,https://owcdn.net/img/677fdfcb36dac.png,12010
nephh,10698,https://owcdn.net/img/677fdff5be5db.png,12010
Levius,40845,https://owcdn.net/img/677fdfe36d135.png,12010
rushia,48878,https://owcdn.net/img/677fdfeb6f40b.png,12010
Verno,21668,https://owcdn.net/img/69742b3c25b7c.png,7386
aspas,8480,https://owcdn.net/img/6977f8cf0996f.png,7386
cortezia,5395,https://owcdn.net/img/69741432dd5e2.png,7386
artzin,5957,https://owcdn.net/img/64328a8010bd9.png,7386
xenom,20240,https://owcdn.net/img/65a6bddfe2c3a.png,7386
Kushy,4866,https://owcdn.net/img/6821f764bd20a.png,878
Jemkin,24895,https://owcdn.net/img/6821f75962425.png,878
xffero,4871,https://owcdn.net/img/6821f77c54827.png,878
crazyguy,1430,https://owcdn.net/img/6821f7746590a.png,878
Monyet,8497,https://owcdn.net/img/6821f747b910a.png,878
Chronicle,458,https://owcdn.net/img/6977a6d8e354a.png,2593
Alfajer,9810,https://owcdn.net/img/687e2c40ac175.png,2593
Boaster,438,https://owcdn.net/img/687e2c495dcc6.png,2593
crashies,4,https://owcdn.net/img/687e2c376a05d.png,2593
kaajak,9554,https://owcdn.net/img/687e2c5192fe5.png,2593
doma,1369,https://owcdn.net/img/68644d64be9a2.png,2593
